X1,Brand,Name,Old.Price,New.Price,ml,Concentration,Department,Scents,Base,Middle,Item.Rating,Seller,Seller.Rating,Number.Of.Sellers.Ratings,Change.In.Price,Change.In.Price.Percentage,Rating.Numbers
97,TOMMY HILFIGER,Tommy Hilfiger,221,124.9,100,EDT,Men,Spicy,"Amber, Cactus, Cotton Flower","Cranberry, Rose, Granny Smith Apple",4.1,AMLAQ,3.9,135,96.1,43.48,135
98,LE CHAMEAU,Atelier Intense,88,71.25,80,EDT,Men,Arabian,"Vetiver, Amber, Musk, Oakmoss","Spicy, Sandalwood, Ceadarwood, Tonka",5,Emper Perfumes,3.5,88,16.75,19.03,88
100,AVON,Tomorrow,130,70,50,EDP,Women,Floral,"Powdery, Floral, Woody, Balsamic, Rose",Musk,4.5,Tiffany,3.7,54,60,46.15,54
101,PACO RABANNE,Invictus,395,210,100,EDT,Men,Citrus,"Guaiac Wood, Patchouli Heart","Ambregris Accord, Grapefruit Zests",4.8,Boutique Wareef,3.8,98,185,46.84,98
102,Salvatore Ferragamo,Signorina Eleganza,326,153.3,100,EDP,Women,Fruity,"Patchouli, White Leather","Almond Powder, Golden Osmanthus Petals",5,noon,4.2,98.1K,172.7,52.98,98100
103,Carrera,Pour Homme,59,43.5,100,EDT,Men,Woody,"Cedar, Tonka Bean, Musk, Leather, Sandalwood, Oakmoss","Anise, Ginger, Cloves, Jasmine",5,KAYA,4.3,4K,15.5,26.27,4000
104,DORALL COLLECTION,Nashwa,43,14.2,100,EDT,Women,Woody,"Amber, patchouli, vanilla, musk, sandalwood","Magnolia, gardenia, lily of the valley, freesia, jasmine",5,B.A.G,3.7,14.1K,28.8,66.98,14100
105,Calvin Klein,Euphoria,289,94.55,100,EDT,Men,Woody,"Amber, Patchouli, Brazilian Redwood, Suede","Black Basil, Sage, Cedar",4.7,Star.perfume,4.2,537,194.45,67.28,537
106,HUGO BOSS,XX,295,158.65,100,EDT,Women,Fruity,"Amber, Musk, Sandalwood","Jasmine, Rice, Rose",4.5,Star.perfume,3.9,537,136.35,46.22,537
107,Sedr Al-Khaleej Perfumes,Moon Light,55,34.3,100,EDP,Women,Citrus,"Tonka Bean, Cocoa, Sandalwood, Praline, Cinnamon, Cedar, Cashmere Wood","Jasmine Sambac, Tuberose, Orris, Bulgarian Rose, Orange Blossom",5,SEDR,4.2,288,20.7,37.64,288
108,Dunhill,Desire,230,84.95,100,EDT,Men,Fresh,"Vanilla, Musk, Labdanum","Rose, Teakwood, Patchouli",4.2,hadayiq baris,3.8,122,145.05,63.07,122
110,TRUSSARDI,My Land,300,164,100,EDT,Men,Woody,"Leather, Vetiver, Tonka Bean","Lavender, Violet, Calone",4.5,Beautiful Live,4.1,7,136,45.33,7
111,Dupont,Passenger,95,95,100,EDT,Men,Woody,"Guaiac Wood, Benzoin","Ginger, Cardamom, Pink Pepper, Lavender",4.5,Beautiful Live,4.1,7,0,0,7
112,ANGEL SCHLESSER,Essential,287,103.95,100,EDP,Women,Oriental,"sandalwood, Musk, Vetiver","Peony, Violet, Freesia, Bulgarian Rose",4.6,noon,4.2,98.1K,183.05,63.78,98100
113,Calvin Klein,Euphoria,220,91.95,100,EDT,Men,Woody,"Amber, Patchouli, Brazilian Redwood, Suede","Black Basil, Sage, Cedar",5,noon,4.2,98.1K,128.05,58.2,98100
114,PACO RABANNE,Pour Homme,226,136.05,100,EDT,Men,Woody,"Honey, Amber, Musk, Oakmoss","Tonka Bean, Lavender, Geranium",4.5,noon,4.2,98.1K,89.95,39.8,98100
115,MONTBLANC,Starwalker,240,125.55,75,EDT,Men,Woody,"Ginger, Fir Resin, Nutmeg, Amber","Sandalwood, White Musk, Cedar",5,noon,4.2,98.1K,114.45,47.69,98100
116,DORALL COLLECTION,Classic Black,9,8.8,100,EDT,Men,Fresh,"Chocolate, cashmere Wood, Patchouli, Tonka Bean","Basil, Verbena , Lavender",4,the beauty,3.9,538,0.2,2.22,538
117,S.T.Dupont,Essence Pure,215,84.6,100,EDT,Women,Citrus,"Amber, Patchouli, Vanilla, Cedar","Jasmine, Rose",4.4,the beauty,4.1,538,130.4,60.65,538
118,S.T.Dupont,Passenger Spray,220,124.7,100,EDP,Women,Fruity,"Sandalwood, Musk","Redolent with Cyclamen, Gardenia, Rose, Iris",5,AMLAQ,3.9,135,95.3,43.32,135
120,Ajmal,Evoke,150.05,150.05,75,EDP,Women,Floral,"Patchouli, Vanilla, Moss","Jasmine, Rose, Orris",5,BOUTIQUE PERFUMES,4.3,118,0,0,118
121,Guerlain,Idylle,725,259.7,100,EDP,Women,Floral,"Musk, Patchouli","Jasmine, Lilac, Lily, Lily Of The Valley, Peony",5,The Wealth of Beauty,3.8,76,465.3,64.18,76
